candidate_id,paper_or_dataset,source_url,local_path,raw_path,sha256,raw_sha256,contrast_or_sheet,status,exclusion_category,pipeline,species,cell_system,hypoxia_modality,n_ctrl,n_treat,n_genes_reported,gene_column,lfc_column,p_column,padj_column,paper_id,source_family_id,handling_decision,notes
HYP018,GSE313740 human simulated high-altitude hypoxia,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE313nnn/GSE313740/suppl/GSE313740_processed_dataxGEO_14dic25.xlsx,data/deg/raw/iter12/GSE313740_processed_dataxGEO_14dic25.xlsx,data/deg/raw/iter12/GSE313740_processed_dataxGEO_14dic25.xlsx,fee8056af91eaf60c5dd433ac7726e900a2bc821ab31cea95f0437e75ebb9903,fee8056af91eaf60c5dd433ac7726e900a2bc821ab31cea95f0437e75ebb9903,Foglio2 T3-versus-baseline contrast,active,none,GEO_processed_contrast_unspecified,Homo sapiens,PBMCs,simulated high-altitude hypobaric hypoxia T3 versus baseline T0,8,8,13322,NAME,logFC-T3vsB0,pvalue adjusted-T3vsB0,pvalue adjusted-T3vsB0,GSE313740,GSE313740,added_active,"Independent GEO-deposited near-full processed workbook. The active row uses only one timepoint contrast to avoid repeated-measure overcount. The p-value field is adjusted p-value and is used conservatively as both p and padj; pipeline is not stated beyond GEO processed contrast."
ITER12-C01,GSE95280 melanoma hypoxia time course,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE95nnn/GSE95280/suppl/GSE95280_edgeR_501_hypoxia_t24h_relative_to_t0_QLF-test_filtered_1cpm_3rep.txt.gz,data/deg/raw/iter12/GSE95280_edgeR_501_hypoxia_t24h_relative_to_t0_QLF-test_filtered_1cpm_3rep.txt.gz,data/deg/raw/iter12/GSE95280_edgeR_501_hypoxia_t24h_relative_to_t0_QLF-test_filtered_1cpm_3rep.txt.gz,e27748d2ba728266d39b2c1109884c6d16261d1ede805dacd147a9f61e5491a4,e27748d2ba728266d39b2c1109884c6d16261d1ede805dacd147a9f61e5491a4,501mel 24h hypoxia relative to t0,deferred,source_family_overlap_with_active_GSE132624,edgeR_QLF,Homo sapiens,501mel melanoma,1% O2,3,3,14721,Unnamed: 0,logFC,PValue,FDR,GSE95280,GSE95280_GSE132624,eligible_but_not_active,"Technically full/near-full direct hypoxia DEG table with PValue/FDR, but same publication/source-family pattern as active GSE132624 melanoma rows; not used for iteration-12 active-count gate under the independence guard."
ITER12-C02,GSE196517 BMDM input hypoxia,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE196nnn/GSE196517/suppl/GSE196517_BMDM-HET-KO-INPUT-Sorted_by_Log2FC.xlsx,data/deg/raw/iter12/GSE196517_BMDM-HET-KO-INPUT-Sorted_by_Log2FC.xlsx,data/deg/raw/iter12/GSE196517_BMDM-HET-KO-INPUT-Sorted_by_Log2FC.xlsx,fd15d04cd5d8329849f1a24b2bb4f755230daea55bd50823b0cf7f3b52168906,fd15d04cd5d8329849f1a24b2bb4f755230daea55bd50823b0cf7f3b52168906,Sheet1,excluded,missing_pvalue_or_fdr,processed_Log2FC_only,Mus musculus,BMDM,hypoxia-induced translational profiles,3,3,unknown,Symbol,Log2FC,,,GSE196517,GSE196517,excluded,"Workbook contains expression and log2FC-style columns but no nominal p-value or FDR fields required for active S0."
ITER12-C03,GSE196517 BMDM TRAP hypoxia,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE196nnn/GSE196517/suppl/GSE196517_BMDM-HET-KO-TRAP-Sorted_by_Log2FC.xlsx,data/deg/raw/iter12/GSE196517_BMDM-HET-KO-TRAP-Sorted_by_Log2FC.xlsx,data/deg/raw/iter12/GSE196517_BMDM-HET-KO-TRAP-Sorted_by_Log2FC.xlsx,5ac2cc11198380888575748cc5458c274f241865c541c7048b58c7980cd63eb6,5ac2cc11198380888575748cc5458c274f241865c541c7048b58c7980cd63eb6,Sheet1,excluded,missing_pvalue_or_fdr,processed_Log2FC_only,Mus musculus,BMDM,hypoxia-induced translational profiles,3,3,unknown,Symbol,Log2FC,,,GSE196517,GSE196517,excluded,"Workbook contains expression and log2FC-style columns but no nominal p-value or FDR fields required for active S0."
ITER12-C04,GSE139233 hypoxia-acidosis RNA-seq TE analysis,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE139nnn/GSE139233/suppl/GSE139233_RNA_seq_TEanalysis.xlsx,data/deg/raw/iter12/GSE139233_RNA_seq_TEanalysis.xlsx,data/deg/raw/iter12/GSE139233_RNA_seq_TEanalysis.xlsx,9613b3660c039b2dcad9bb1475890e4154c02e07b39188b0bbbdb4e71d5ec55e,9613b3660c039b2dcad9bb1475890e4154c02e07b39188b0bbbdb4e71d5ec55e,genes.fpkm_table-NCB.txt,excluded,expression_or_te_only,processed_expression_TE,Homo sapiens,U87MG,hypoxia and acidosis fractions,1,1,62289,gene_short_name,,,,GSE139233,GSE139233,excluded,"Large workbook has FPKM/TE/expression measures but no contrast-level LFC plus p/FDR statistics."
ITER12-C05,GSE328627 WT 5% vs 16% oxygen,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE328nnn/GSE328627/suppl/GSE328627_WT_5vsWT_16_DEG_all.xls.gz,data/deg/raw/iter12/GSE328627_WT_5vsWT_16_DEG_all.xls.gz,data/deg/raw/iter12/GSE328627_WT_5vsWT_16_DEG_all.xls.gz,4e185278fa8d1c739d3215704971d5b361e064c5524bbc5e3f4bc59e478f30bf,4e185278fa8d1c739d3215704971d5b361e064c5524bbc5e3f4bc59e478f30bf,WT_5vsWT_16,excluded,reported_gene_universe_lt_10000,DESeq2_like,Homo sapiens,PC3 cells,5% O2 versus 16% O2,1,1,1680,gene_name,log2FoldChange,pvalue,padj,GSE328627,GSE328627,excluded,"Direct oxygen comparison with DEG statistics, but the deposited table is 1,680 rows, below the full/near-full >=10,000-gene threshold and has no replicate sample structure for active S0."
ITER12-C06,GSE260872 FaDu hypoxia,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE260nnn/GSE260872/suppl/GSE260872_FADU_gene_edgeR.tsv.gz,data/deg/raw/iter12/GSE260872_FADU_gene_edgeR.tsv.gz,data/deg/raw/iter12/GSE260872_FADU_gene_edgeR.tsv.gz,16189efee9ef7d3c4e97aa9ca025826ba1a6d9c906b3bcf22ab1d8ec7bab6719,16189efee9ef7d3c4e97aa9ca025826ba1a6d9c906b3bcf22ab1d8ec7bab6719,H hypoxia contrast,excluded,n_replicates_lt_3,edgeR,Homo sapiens,FaDu head and neck cancer cells,1% O2 for 18h,2,2,17087,Gene_ID,H.Log2FC,H.Pval,H.padj,GSE260872,GSE260872,excluded,"Full direct hypoxia table but GEO sample metadata show two normoxia and two hypoxia replicates, below the locked >=3 per-arm S0 criterion."
ITER12-C07,GSE255871 transgenerational hypoxia,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE255nnn/GSE255871/suppl/GSE255871_1st_exposure_DESeq2_output.csv.gz,data/deg/raw/iter12/GSE255871_1st_exposure_DESeq2_output.csv.gz,data/deg/raw/iter12/GSE255871_1st_exposure_DESeq2_output.csv.gz,8d01815d6352ae8c122daad5a27070b4f4067985627214a910e4b2789b9ca34e,8d01815d6352ae8c122daad5a27070b4f4067985627214a910e4b2789b9ca34e,1st exposure DESeq2 output,excluded,non_mammalian_species,DESeq2,Caenorhabditis elegans,whole worm,hypoxia versus normoxia,3,3,20982,Unnamed: 0,log2FoldChange,pvalue,padj,GSE255871,GSE255871,excluded,"Full DEG table but organism is C. elegans, outside the locked human/mouse S0 scope."
ITER12-C08,GSE288708 hypoxia query hit,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288708/suppl/GSE288708_all_sample_deseq.csv.gz,data/deg/raw/iter12/GSE288708_all_sample_deseq.csv.gz,data/deg/raw/iter12/GSE288708_all_sample_deseq.csv.gz,f7c0f03b00ffef509f0947efa315b0610905c467dc18121aa7e5f94f96edc3f6,f7c0f03b00ffef509f0947efa315b0610905c467dc18121aa7e5f94f96edc3f6,all_sample_deseq,excluded,counts_or_expression_matrix_only,count_matrix,not_resolved,not_resolved,hypoxia query hit,5,5,62266,gene,,,,GSE288708,GSE288708,excluded,"Downloaded file is an all-sample count/expression matrix with no contrast-level LFC and p/FDR columns."
ITER12-C09,GSE232797 hypoxic HPAEC siRNA study,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE232nnn/GSE232797/suppl/GSE232797_data_RNAseq.csv.gz,data/deg/raw/iter12/GSE232797_data_RNAseq.csv.gz,data/deg/raw/iter12/GSE232797_data_RNAseq.csv.gz,c4f4740a26be4fc1f6881ac57324adb4d9f80412ca85faee9a7610d8da7ff9a2,c4f4740a26be4fc1f6881ac57324adb4d9f80412ca85faee9a7610d8da7ff9a2,data_RNAseq,excluded,counts_or_expression_matrix_only,count_matrix,Homo sapiens,HPAEC,hypoxia plus siRNA design,3,3,57820,Ensembl,,,,GSE232797,GSE232797,excluded,"Supplement is a sample-level RNA-seq matrix; no as-deposited contrast-level LFC and p/FDR table was found."
