# DEGORA gene-symbol retirement table
# source	https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt
# snapshot_date	2026-09-02
# source_sha256	854162118530e929f06249f3349465dd5fe0515fcccf0347f463e833609c1270
# rule	unambiguous HGNC prev_symbol -> approved symbol; a previous symbol that is itself an approved symbol, names more than one approved symbol, is accession- or number-shaped, belongs to an Excel date-damage family, or is a token whose non-gene meaning dominates in a spreadsheet is not listed
# counts	approved_records=45045; previous_symbols_seen=15746; dropped_symbol_reused_as_current=230; dropped_ambiguous_target=84; dropped_not_a_symbol_token=2; dropped_excel_date_family=29; dropped_non_gene_token=3; kept=15398
previous_symbol	current_symbol
CYHR1	ZFTRAF1
CYK4	KRT4
CYLD1	CYLD
CYLN2	CLIP2
CYORF1	OFD1P18Y
CYORF14	TTTY14
CYORF15A	TXLNGY
CYORF15B	TXLNGY
CYORF16	FAM197Y2
CYORF17	PRORY
CYP1	CYP1A1
CYP11A	CYP11A1
CYP17	CYP17A1
CYP17A1OS	CYP17A1-AS1
CYP19	CYP19A1
CYP21	CYP21A2
CYP21A	CYP21A1P
CYP21B	CYP21A2
CYP21P	CYP21A1P
CYP24	CYP24A1
CYP27	CYP27A1
CYP2A3	CYP2A6
CYP2B	CYP2B6
CYP2B7P1	CYP2B7P
CYP2C	CYP2C19
CYP2C10	CYP2C9
CYP2C17	CYP2C18
CYP2C62P	CYP2C23P
CYP2D	CYP2D7
CYP2D7AP	CYP2D6
CYP2D7BP	CYP2D6
CYP2D7P	CYP2D7
CYP2D7P1	CYP2D7
CYP2D7P2	CYP2D6
CYP2D8P1	CYP2D8P
CYP2D8P2	CYP2D6
CYP2D@	CYP2D7
CYP2DL1	CYP2D6
CYP2DP1	CYP2D8P
CYP2E	CYP2E1
CYP2F	CYP2F1
CYP2F1P	CYP2F2P
CYP2G1	CYP2G1P
CYP2G2	CYP2G2P
CYP2T2P	CYP2T1P
CYP3A3	CYP3A4
CYP3A5P1	CYP3A51P
CYP46	CYP46A1
CYP4A2	CYP4A11
CYP4F3LP	CYP4F29P
CYP4F43P	CYP4F62P
CYP51	CYP51A1
CYP51P1	CYP51A1P1
CYP51P2	CYP51A1P2
CYP51P3	CYP51A1P3
CYP7	CYP7A1
CYR61	CCN1
CYRN1	ADAM3A
CYRN2	ADAM3B
CYRP	CSRP1
CYTSA	SPECC1L
CYTSB	SPECC1
CZP1	GJA8
CZP3	GJA3
D0S117E	DBN1
D0S1430E	CDC27
D10S170	CCDC6
D11S2243E	RPLP2
D11S287E	CCND1
D11S833E	LRRC32
D12S2489E	KLRK1
D12S370	LTBR
D12S755E	ATN1
D15S12	OCA2
D15S9	MKRN3
D16S2531E	SNTB2
D17S136E	CCL5
D17S1718	CCL3L1
D17S978E	CDC27
D19S204	ZNF121
D19S37	BCL3
D1S166E	TNFRSF8
D21S58	IL10RB
D21S66	IL10RB
D22S11	BCR
D3S1231E	SEC13
D3S48E	APEH
D4S90	ZNF141
D4ST1	CHST14
D6S203	HLA-J
D6S204	HLA-C
D6S218E	RPS18
D6S229E	ZNF76
D6S230E	TCP11
D8S37	HPV18I1
D9S57E	TMOD1
DACH	DACH1
DAD1L	DAD1P1
DAF	CD55
DAGK	DGKA
DAGK1	DGKA
DAGK2	DGKB
DAGK3	DGKG
DAGK4	DGKQ
DAK	TKFC
DAOA-AS	DAOA-AS1
DAOAAS	DAOA-AS1
DAP3P	DAP3P1
DAR	ATP2A2
DARC	ACKR1
DARS	DARS1
DARS-AS1	DARS1-AS1
DAT1	SLC6A3
DATF1	DIDO1
DAZ	DAZ1
DAZLA	DAZL
DBC1	BRINP1
DBCCR1	BRINP1
DBIL1	DBIP2
DBIL2	DBIP1
DBY	DDX3Y
DCAMKL1	DCLK1
DCAMKL2	DCLK2
DCAMKL3	DCLK3
DCDC5	DCDC1
DCE	DHCR24
DCI	ECI1
DCOH	PCBD1
DCP1	ACE
DCUN1D2-AS2	DCUN1D2-AS
DDEF1	ASAP1
DDEF1IT1	ASAP1-IT1
DDEF2	ASAP2
DDEFL1	ASAP3
DDH1	AKR1C1
DDH2	AKR1C2
DDIT1	GADD45A
DDIT1L	GADD45AP1
DDPAC	MAPT
DDR1-AS1	DDR1-DT
DDX11P	DDX11L10
DDX12	DDX12P
DDX15	DHX15
DDX16	DHX16
DDX19	DDX19B
DDX19L	DDX19A
DDX26	INTS6
DDX26B	INTS6L
DDX26B-AS1	INTS6L-AS1
DDX29	DHX29
DDX3	DDX3X
DDX30	DHX30
DDX32	DHX32
DDX33	DHX33
DDX34	DHX34
DDX35	DHX35
DDX36	DHX36
DDX37	DHX37
DDX38	DHX38
DDX39	DDX39A
DDX3YP1	DDX3P1
DDX3YP2	DDX3P2
DDX3YP3	DDX3P3
DDX40	DHX40
DDX48	EIF4A3
DDX58	RIGI
DDX6P	DDX6P1
DDX8	DHX8
DDX9	DHX9
DDX9P	DHX9P1
DDXBP1	PIAS1
DEADC1	ADAT2
DECR	DECR1
DEF1	DEFA1
DEF3	DEFA3
DEF4	DEFA4
DEF5	DEFA5
DEFA2	DEFA1
DEFA7	DEFA7P
DEFB102	DEFB4A
DEFB103	DEFB103A
DEFB104	DEFB104A
DEFB105	DEFB105A
DEFB106	DEFB106A
DEFB107	DEFB107A
DEFB108	DEFB108A
DEFB108P1	DEFB108A
DEFB108P2	DEFB108C
DEFB108P3	DEFB108D
DEFB108P4	DEFB108E
DEFB108P5	DEFB108F
DEFB109	DEFB109A
DEFB109P1	DEFB109A
DEFB109P1B	DEFB109B
DEFB109P2	DEFB109E
DEFB109P3	DEFB109D
DEFB120	DEFB119
DEFB130	DEFB130A
DEFB131	DEFB131A
DEFB2	DEFB4A
DEFB3	DEFB103A
DEFB4	DEFB4A
DEFB4P	DEFB4B
DEFQ1	DEFT1P
DEFT1	DEFT1P
DEM1	EXO5
DEPDC2	PREX2
DEPDC6	DEPTOR
DF	CFD
DFN1	TIMM8A
DFN2	PRPS1
DFN3	POU3F4
DFN6	SMPX
DFNA1	DIAPH1
DFNA10	EYA4
DFNA11	MYO7A
DFNA12	TECTA
DFNA13	COL11A2
DFNA14	WFS1
DFNA15	POU4F3
DFNA17	MYH9
DFNA20	ACTG1
DFNA22	MYO6
DFNA23	SIX1
DFNA25	SLC17A8
DFNA26	ACTG1
DFNA27	REST
DFNA28	GRHL2
DFNA31	COCH
DFNA34	NLRP3
DFNA36	TMC1
DFNA37	COL11A1
DFNA38	WFS1
DFNA39	DSPP
DFNA4	MYH14
DFNA41	P2RX2
DFNA42	POU4F3
DFNA44	CCDC50
DFNA48	MYO1A
DFNA5	GSDME
DFNA50	MIR96
DFNA51	TJP2
DFNA52	POU4F3
DFNA56	TNC
DFNA6	WFS1
DFNA8	TECTA
DFNA9	COCH
DFNB1	GJB2
DFNB10	TMPRSS3
DFNB100	PPIP5K2
DFNB11	TMC1
DFNB12	CDH23
DFNB15	GIPC3
DFNB16	STRC
DFNB18	USH1C
DFNB2	MYO7A
DFNB21	TECTA
DFNB22	OTOA
DFNB23	PCDH15
DFNB24	RDX
DFNB25	GRXCR1
DFNB26	GAB1
DFNB28	TRIOBP
DFNB29	CLDN14
DFNB3	MYO15A
DFNB30	MYO3A
DFNB31	WHRN
DFNB32	CDC14A
DFNB35	ESRRB
DFNB36	ESPN
DFNB37	MYO6
DFNB39	HGF
DFNB4	SLC26A4
DFNB42	ILDR1
DFNB44	ADCY1
DFNB48	CIB2
DFNB49	MARVELD2
DFNB53	COL11A2
DFNB57	PDZD7
DFNB59	PJVK
DFNB6	TMIE
DFNB60	SLC22A4
DFNB63	LRTOMT
DFNB66	DCDC2
DFNB67	LHFPL5
DFNB68	S1PR2
DFNB7	TMC1
DFNB70	PNPT1
DFNB72	GIPC3
DFNB73	BSND
DFNB74	MSRB3
DFNB76	SYNE4
DFNB77	LOXHD1
DFNB79	TPRN
DFNB8	TMPRSS3
DFNB82	GPSM2
DFNB84	PTPRQ
DFNB86	TBC1D24
DFNB88	ELMOD3
DFNB89	KARS1
DFNB9	OTOF
DFNB91	SERPINB6
DFNB93	CABP2
DFNB94	NARS2
DFNB98	TSPEAR
DFNM1	METTL13
DGAT	DGAT1
DGAT2L1	MOGAT1
DGAT2L3	AWAT1
DGAT2L4	AWAT2
DGCR10	DGCR5
DGCR13	ESS2
DGCR14	ESS2
DGCR9	DGCR5
DGI1	DSPP
DGU	UNG
DHCD1	DNHD1
DHDPSL	HOGA1
DHFRL1	DHFR2
DHFRP4	DHFR2
DHLAG	CD74
DHOF	PORCN
DHRD	EFEMP1
DHRS10	HSD17B14
DHRS6	BDH2
DHRS6P1	BDH2P1
DHRS8	HSD17B11
DHRSXIT1	DHRSX-IT1
DHTR	AR
DHX40P	DHX40P1
DHX9P	DHX9P1
DI	SLC4A1
DIA1	CYB5R3
DIA4	NQO1
DIBD1	ALG9
DIC	SLC25A10
DICER1-AS	DICER1-AS1
DIEXF	UTP25
DIMT1L	DIMT1
DINB1	POLK
DIR	AVPR2
DIR3	AVPR2
DIRC2	SLC49A4
DIRC3-AS1	TESHL
DIS3L2P	DIS3L2P1
DKC	DKC1
DKKL2	DKKL1P1
DL	EDAR
DLB1	DLEU1
DLB2	DLEU2
DLEU8	RNASEH2B
DLG2-AS	DLG2-AS1
DLG2AS	DLG2-AS1
DLG6	MPP4
DLG7	DLGAP5
DLSTP	DLSTP1
DLTA	DLAT
DLTS	DLST
DLX2-AS1	DLX2-DT
DLX7	DLX4
DLX9	DLX4
DM	DMPK
DM1	DMPK
DM2	CNBP
DMAHP	SIX5
DMBT1P1	DMBT1L1
DMDA1	SGCG
DMDL	UTRN
DMGDHL1	SARDH
DMN	SYNM
DMRTA3	DMRT3
DMRTC1-AS1	FAM236A
DNA2L	DNA2
DNAH12L	DNAH12
DNAH17L	DNAH9
DNAH7L	DNAH12
DNAHL1	DNAH17
DNAJB1P	DNAJB1P1
DNAJB3	DNAJB3P
DNAJB5-AS1	DNAJB5-DT
DNAJC3-AS1	DNAJC3-DT
DNAJD1	DNAJC15
DNB5	SLC45A1
DNCH1	DYNC1H1
DNCH2	DYNC2H1
DNCI1	DYNC1I1
DNCI2	DYNC1I2
DNCL	DYNC1H1
DNCL1	DYNLL1
DNCL1P1	DYNLL1P1
DNCL1P2	DYNLL1P2
DNCL2A	DYNLRB1
DNCL2B	DYNLRB2
DNCLI1	DYNC1LI1
DNCLI2	DYNC1LI2
DNECL	DYNC1H1
DNHD1L	DNHD1
DNHD2	DNAH12
DNHD3	DNAH2
DNHL1	DNAH6
DNL	DNASE2
DNL1	DNASE1
DNL1L	DNASE1L1
DNL2	DNASE2
DNM	DNM1
DNM1DN12@	DNM1P45
DNM1DN17	DNM1P17
DNM1DN18	DNM1P18
DNM1DN19	DNM1P19
DNM1DN5	DNM1P5
DNM1DN7@	DNM1P33
DNM1DN9	DNM1P9
DNM1DN9@	DNM1P9
DNM1P42	DNM1P38
DNM3-AS1	DNM3OS
DNMT	DNMT1
DNMT2	TRDMT1
DO	ART4
DOC2BL	DOC2B
DOCK9-AS2	DOCK9-DT
DOK5L	DOK6
DOM3Z	DXO
DOPEY1	DOP1A
DOPEY2	DOP1B
DPAGT	DPAGT1
DPAGT2	DPAGT1
DPCR1	MUCL3
DPD1	TGFB1
DPDE1	PDE4C
DPDE2	PDE4A
DPDE3	PDE4D
DPDE4	PDE4B
DPH2L	DPH1
DPH2L1	DPH1
DPH2L2	DPH2
DPH3B	DPH3P1
DPH4	DNAJC24
DPH6-AS1	DPH6-DT
DRA	SLC26A3
DRCC1	MUC13
DRD1IP	CALY
DRD1L2	DRD5
DRIL1	ARID3A
DRPLA	ATN1
DRT	EPHB2
DSC4	DSC3
DSCR1	RCAN1
DSCR1L1	RCAN2
DSCR1L2	RCAN3
DSCR2	PSMG1
DSCR3	VPS26C
DSCR5	PIGP
DSCR6	RIPPLY3
DSCR6P1	RIPPLY3P1
DSG	DSG1
DSIPI	TSC22D3
DSPG3	EPYC
DSS	NR0B1
DTD	SLC26A2
DTR	HBEGF
DTS	HBEGF
DUFD1	MTFR2
DULLARD	CTDNEP1
DUPD1	DUSP29
DURS2	CHN1
DUS2L	DUS2
DUSP13	DUSP13B
DUSP24	STYXL1
DUSP27	STYXL2
DUSP5P	DUSP5P1
DUSP8P	DUSP8P1
DUSP8P3	DUSP8P1
DUSP8P4	DUSP8P2
DUSPP	DUSP8P1
DUTL	DUTP1
DUX2	DUX4L8
DVL1L1	DVL1P1
DVWA	COL6A4P1
DXS1179E	PRKCI
DXS128	SLC16A2
DXS399E	XIST
DXS540	CHM
DXS552E	MPP1
DYNLL1-AS1	NRAV
DYRK	DYRK1A
DYRK1	DYRK1A
DYRK1AP3	PHYHIP
DYS	ELP1
DYSFIP1	PPP1R27
DYT1	TOR1A
DYT10	PRRT2
DYT11	SGCE
DYT12	ATP1A3
DYT14	GCH1
DYT2	HPCA
DYT3	TAF1
DYT4	TUBB4A
DYT5	GCH1
DYT6	THAP1
DYX1C1	DNAAF4
DYX1C1-CCPG1	DNAAF4-CCPG1
DZANK1-AS1	LINC00851
EBAF	LEFTY2
EBD1	COL7A1
EBDCT	COL7A1
EBF	EBF1
EBI1	CCR7
EBI2	GPR183
EBLN3	EBLN3P
EBN2	KCNQ3
EBR1	COL7A1
EBR2	LAMC2
EBR2A	LAMC2
EBS1	PLEC
EBS2	KRT5
EBS3	KRT14
EBS4	KRT14
ECAC1	TRPV5
ECAC2	TRPV6
ECE	ECE1
ECGF1	TYMP
ECHD	EHHADH
ECK	EPHA2
ECPN	OPN3
ED1	EDA
ED2	GJB6
ED3	EDAR
ED4	NECTIN1
EDA2	EDA
EDD1	UBR5
EDDR1	DDR1
EDG1	S1PR1
EDG2	LPAR1
EDG3	S1PR3
EDG4	LPAR2
EDG5	S1PR2
EDG6	S1PR4
EDG7	LPAR3
EDG8	S1PR5
EDH17B1	HSD17B1P1
EDH17B2	HSD17B1
EDM1	COMP
EDM2	COL9A2
EDP1	TNFAIP1
EDR1	PHC1
EDR2	PHC2
EDS4A	COL3A1
EEF1A	EEF1A1
EEF1A1P	EEF1A1P1
EEF1A3	EEF1A1P43
EEF1AKNMT	METTL13
EEF1AL	EEF1A1P3
EEF1AL1	EEF1A1P3
EEF1AL10	EEF1A1P12
EEF1AL11	EEF1A1P13
EEF1AL12	EEF1A1P14
EEF1AL13	EEF1A1P15
EEF1AL2	EEF1A1P4
EEF1AL3	EEF1A1P5
EEF1AL4	EEF1A1P6
EEF1AL5	EEF1A1P7
EEF1AL6	EEF1A1P8
EEF1AL7	EEF1A1P9
EEF1AL8	EEF1A1P10
EEF1AL9	EEF1A1P11
EEF1B	EEF1B2P2
EEF1B1	EEF1B2P1
EEF1B3	EEF1B2P2
EEF1B4	EEF1B2P3
EEK	EPHA8
EF1A	EEF1A1
EF2	EEF2
EFCAB1	CLXN
EFCAB2	DRC8
EFCAB4A	CRACR2B
EFCAB4B	CRACR2A
EFCBP1	NECAB1
EFCBP2	NECAB2
EFE	TAFAZZIN
EFE2	TAFAZZIN
EFHA1	MICU2
EFHA2	MICU3
EFMR	PCDH19
EFTUD1	EFL1
EFTUD1P1	EFL1P1
EFTUD1P2	EFL1P2
EGFL1	CELSR3
EGFL10	EYS
EGFL11	EYS
EGFL2	CELSR2
EGFL3	MEGF6
EGFL4	MEGF8
EGFL5	MEGF9
EGFL9	DLK2
EHK1	KRT1
EHMT1-IT1	EHMT1
EIF1A	EIF1AX
EIF1AP1	EIF1AXP1
EIF1B-AS1	ENTPD3-AS1
EIF2B	EIF2B1
EIF2B5-AS1	LINC01840
EIF2B5-IT1	LINC01839
EIF2C1	AGO1
EIF2C2	AGO2
EIF2C3	AGO3
EIF2C4	AGO4
EIF2G	EIF2S3
EIF2S2P	EIF2S2P1
EIF3	EIF3A
EIF3EIP	EIF3L
EIF3EIPP1	EIF3LP1
EIF3EIPP2	EIF3LP2
EIF3EP	EIF3EP1
EIF3FP	EIF3FP1
EIF3J-AS1	EIF3J-DT
EIF3S1	EIF3J
EIF3S10	EIF3A
EIF3S12	EIF3K
EIF3S2	EIF3I
EIF3S3	EIF3H
EIF3S4	EIF3G
EIF3S5	EIF3F
EIF3S5P	EIF3FP1
EIF3S6	EIF3E
EIF3S6IP	EIF3L
EIF3S6IPP	EIF3LP1
EIF3S6IPP2	EIF3LP2
EIF3S6P1	EIF3EP1
EIF3S7	EIF3D
EIF3S8	EIF3C
EIF3S9	EIF3B
EIF4A	EIF4A1
EIF4A1P	EIF4A1P1
EIF4BP	EIF4BP1
EIF4C	EIF1AX
EIF4EBP1P	EIF4EBP1P1
EIF4EBP2P	EIF4EBP2P1
EIF4EL1	EIF4E
EIF4EL2	EIF4EP1
EIF4EL3	EIF4E2
EIF4EL4	EIF4E2P1
EIF4G	EIF4G1
EIF5AL3	EIF5AP4
EIF5AP1	EIF5AL1
EJM	EFHC1
EJM1	EFHC1
EKV	GJB3
EKV3	AP1S1
EL1	EPB41
ELA1	CELA1
ELA2	ELANE
ELA3A	CELA3A
ELA3B	CELA3B
ELAM	SELE
ELAM1	SELE
ELANH2	SERPINB1
ELFT	FUT4
ELK2	ELK2AP
ELK2P1	ELK2AP
ELK2P2	ELK2BP
ELMSAN1	MIDEAS
ELNR1	GLB1
ELOA3	ELOA3P
ELOA3B	ELOA3BP
ELOA3C	ELOA3CP
ELOA3D	ELOA3DP
ELTD1	ADGRL4
EMAPL	EML1
EMCN-IT1	LINC01218
EMCN-IT2	LINC01217
EMCN-IT3	LINC01216
EMID2	COL26A1
EMILIN5	EMILIN3
EMK1	MARK2
EMR1	ADGRE1
EMR2	ADGRE2
EMR3	ADGRE3
EMR4	ADGRE4P
EMR4P	ADGRE4P
EMS1	CTTN
ENDOGL1	EXOG
ENDOGL2	EXOG
ENO1-IT1	ENO1
ENO1L1	ENO1
ENO1P	ENO1P1
ENSAP	ENSAP1
ENT1	SLC29A1
ENT2	SLC29A2
ENTHD2	TEPSIN
ENX2	ANXA5
EP400NL	EP400P1
EPB3	SLC4A1
EPB3L1	SLC4A2
EPB49	DMTN
EPB7	STOM
EPB72	STOM
EPD1	COMP
EPHT	EPHA1
EPHT1	EPHA1
EPHT2	EPHB1
EPHT3	EPHB2
EPHX	EPHX1
EPIM	STX2
EPLG1	EFNA1
EPLG2	EFNB1
EPLG3	EFNA3
EPLG4	EFNA4
EPLG5	EFNB2
EPLG6	EFNA2
EPLG7	EFNA5
EPLG8	EFNB3
EPM1	CSTB
EPMR	CLN8
EPRS	EPRS1
EPS15L2	EPS15P1
EPT	LGI1
EPT1	SELENOI
EPVE6AP	UBE3A
ERAF	AHSP
ERBA1	THRA
ERBA2	THRB
ERBA2L	P4HB
ERBAL2	NR2F6
ERBAL3	NR2F1
ERBB	EGFR
ERBB2IP	ERBIN
ERCM2	ERCC5
ERF1	ETF1
ERICH1-AS1	DLGAP2
ERK	EPHB2
ERO1L	ERO1A
ERO1LB	ERO1B
ERR	SLC7A1
ERV3	ERV3-1
ERVE1	ERVE-1
ERVK4	ERVK-4
ERVK5	ERVK-5
ERVK6	ERVK-6
ERVK7	ERVK-7
ERVK8	ERVK-8
ERVWE1	ERVW-1
ERVWE2	ERVW-2
ESR	ESR1
ESRL1	ESRRA
ESRL2	ESRRB
ESRRAP	ESRRAP1
ESRRBL1	IFT57
ESS1	TGFBR1
ESTF	MAP3K8
ESX	ELF3
ESX1L	ESX1
ETK	EPHA3
ETK1	EPHA3
ETK2	EPHB3
EVA1	MPZL2
EVER1	TMC6
EVER2	TMC8
EVI1	MECOM
EVI2	EVI2A
EVI9	BCL11A
EVR2	NDP
EWSR2	ETS1
EXDL1	EXD1
EXDL2	EXD2
EXLD1	HAPLN3
EXOC3L	EXOC3L1
EXOD1	ERI2
EXTL2P	EXTL2P1
EYA4-AS1	TARID
EYCL2	OCA2
EYCL3	OCA2
F13A	F13A1
F5F8D	LMAN1
F8A	F8A1
F8C	F8
F8VWF	VWF
F8VWFL	VWFP1
F8VWFP	VWFP1
FABGL	HSD17B8
FABP11	FABP3
FABP5L1	FABP5P1
FABP5L10	FABP5P10
FABP5L11	FABP5P11
FABP5L12	FABP5P12
FABP5L13	FABP5P13
FABP5L14	FABP5P14
FABP5L15	FABP5P15
FABP5L2	FABP5P2
FABP5L3	FABP5P3
FABP5L4	FABP5P4
FABP5L5	FABP5P5
FABP5L6	FABP5P6
FABP5L7	FABP5P7
FABP5L8	FABP5P8
FABP5L9	FABP5P9
FACA	FANCA
FACC	FANCC
FACE	FANCE
FACL2	ACSL1
FACL3	ACSL3
FACL4	ACSL4
FACL5	ACSL5
FACL6	ACSL6
FACVL1	SLC27A2
FADS2P1	FADS2B
FAEES3	GSTP1
FAHD2P	FAHD2P1
FAIM3	FCMR
FAK2	PTK2B
FALZ	BPTF
FAM100A	UBALD1
FAM100B	UBALD2
FAM101A	RFLNA
FAM101B	RFLNB
FAM102A	EEIG1
FAM102B	EEIG2
FAM103A1	RAMAC
FAM103A2P	RAMACL
FAM104A	VCF1
FAM104B	VCF2
FAM105A	OTULINL
FAM105B	OTULIN
FAM106CP	FAM106C
FAM106D	FAM106DP
FAM108A1	ABHD17A
FAM108A10P	ABHD17AP9
FAM108A11P	ABHD17AP1
FAM108A2	ABHD17AP1
FAM108A3	ABHD17AP1
FAM108A3P	ABHD17AP1
FAM108A4	ABHD17AP3
FAM108A4P	ABHD17AP3
FAM108A5	ABHD17AP4
FAM108A5P	ABHD17AP4
FAM108A6	ABHD17AP5
FAM108A6P	ABHD17AP5
FAM108A7P	ABHD17AP6
FAM108A8P	ABHD17AP7
FAM108A9P	ABHD17AP8
FAM108B1	ABHD17B
FAM108C1	ABHD17C
FAM109A	PHETA1
FAM109B	PHETA2
FAM10A3	ST13P3
FAM10A4	ST13P4
FAM10A5	ST13P5
FAM10A6	ST13P6
FAM10A7	ST13P7
FAM112A	GTSF1L
FAM112B	GTSF1
FAM113A	PCED1A
FAM113B	PCED1B
FAM115A	TCAF1
FAM115B	TCAF1P1
FAM115C	TCAF2
FAM115D	TCAF2P1
FAM116A	DENND6A
FAM116B	DENND6B
FAM118A	SIRAL2
FAM118B	SIRAL1
FAM119A	METTL21A
FAM119B	EEF1AKMT3
FAM11A	TMEM185A
FAM11B	TMEM185B
FAM121A	APOOL
FAM121B	APOO
FAM122A	PABIR1
FAM122B	PABIR2
FAM122C	PABIR3
FAM123A	AMER2
FAM123B	AMER1
FAM123C	AMER3
FAM125A	MVB12A
FAM125B	MVB12B
FAM126A	HYCC1
FAM126B	HYCC2
FAM127A	RTL8C
FAM127B	RTL8A
FAM127C	RTL8B
FAM128A	MZT2A
FAM128B	MZT2B
FAM129A	NIBAN1
FAM129B	NIBAN2
FAM129C	NIBAN3
FAM12A	EDDM3A
FAM12B	EDDM3B
FAM12CP	EDDM3CP
FAM130A1	CSRNP2
FAM130A2	CSRNP3
FAM132A	C1QTNF12
FAM132B	ERFE
FAM134A	RETREG2
FAM134B	RETREG1
FAM134C	RETREG3
FAM136A	TIMCC
FAM136B	TIMCCP1
FAM136BP	TIMCCP1
FAM136CP	TIMCCP2
FAM136DP	TIMCCP3
FAM136EP	TIMCCP4
FAM136FP	TIMCCP5
FAM136GP	TIMCCP6
FAM137A	GARIN1B
FAM137B	GARIN1A
FAM139A	TCAF2
FAM139B	TCAF2P1
FAM13A1	FAM13A
FAM13A1OS	FAM13A-AS1
FAM13AOS	FAM13A-AS1
FAM13B1	FAM13B
FAM13C1	FAM13C
FAM148A	C2CD4A
FAM148B	C2CD4B
FAM148C	C2CD4C
FAM149B2	FAM149B1P1
FAM14A	IFI27L2
FAM14B	IFI27L1
FAM150A	ALKAL1
FAM150B	ALKAL2
FAM152A	DESI2
FAM152B	DESI1
FAM153C	FAM153CP
FAM154A	SAXO1
FAM154B	SAXO2
FAM155A	NALF1
FAM155A-IT1	NALF1-IT1
FAM155B	NALF2
FAM158A	EMC9
FAM159A	SHISAL2A
FAM159B	SHISAL2B
FAM15A	SAMD15
FAM15B	TMED8
FAM160A1	FHIP1A
FAM160A1-DT	FHIP1A-DT
FAM160A2	FHIP1B
FAM160B1	FHIP2A
FAM160B2	FHIP2B
FAM164A	ZC2HC1A
FAM164B	ZC2HC1B
FAM164C	ZC2HC1C
FAM165A	SMIM11P1
FAM165B	SMIM11
FAM166A	CIMIP2A
FAM166B	CIMIP2B
FAM166C	CIMIP2C
FAM169B	FAM169BP
FAM16AX	PUDP
FAM16AY	PUDPP1
FAM16B	PUDPP2
FAM172A	ARB2A
FAM172B	ARB2BP
FAM172BP	ARB2BP
FAM173A	ANTKMT
FAM173B	ATPSCKMT
FAM175A	ABRAXAS1
FAM175B	ABRAXAS2
FAM176A	EVA1A
FAM176B	EVA1B
FAM176C	EVA1C
FAM177A2	FAM177A1P1
FAM178A	SLF2
FAM179A	TOGARAM2
FAM179B	TOGARAM1
FAM183A	CFAP144
FAM183B	CFAP144P1
FAM183BP	CFAP144P1
FAM183CP	LINC02209
FAM183DP	CFAP144P2
FAM183EP	CFAP144P3
FAM185B	FAM185BP
FAM188A	MINDY3
FAM188B	MINDY4
FAM188B2	MINDY4B
FAM189A1	ENTREP2
FAM189A2	ENTREP1
FAM189B	ENTREP3
FAM18A	TVP23A
FAM18B	TVP23B
FAM18B1	TVP23B
FAM18B2	TVP23C
FAM18B2-CDRT4	TVP23C-CDRT4
FAM18B3P	TVP23BP1
FAM18B4P	TVP23BP2
FAM190A	CCSER1
FAM190B	CCSER2
FAM192A	PSME3IP1
FAM192B	PSME3IP1P1
FAM192BP	PSME3IP1P1
FAM194A	ERICH6
FAM194B	ERICH6B
FAM195A	MCRIP2
FAM195B	MCRIP1
FAM195CP	MCRIP2P1
FAM195DP	MCRIP2P2
FAM196A	INSYN2A
FAM196B	INSYN2B
FAM197Y2P	FAM197Y2
FAM197Y4P	FAM197Y4
FAM197Y5P	FAM197Y5
FAM197Y7P	FAM197Y7
FAM198A	GASK1A
FAM198B	GASK1B
FAM198B-AS1	GASK1B-AS1
FAM19A1	TAFA1
FAM19A2	TAFA2
FAM19A3	TAFA3
FAM19A4	TAFA4
FAM19A5	TAFA5
FAM200A	ZBED8L
FAM200B	ZBED11
FAM200C	ZBED8
FAM203A	HGH1
FAM203B	HGH1
FAM205A	SPATA31F1
FAM205B	SPATA31F2P
FAM205BP	SPATA31F2P
FAM205C	SPATA31F3
FAM205CP	SPATA31F3
FAM206A	ABITRAM
FAM206BP	ABITRAMP1
FAM207A	SLX9
FAM207BP	SLX9P1
FAM207CP	SLX9P3
FAM208A	TASOR
FAM208B	TASOR2
FAM210A	MIMS1
FAM210B	MIMS2
FAM210CP	MIMS3P
FAM211A	LRRC75A
FAM211A-AS1	SNHG29
FAM211B	LRRC75B
FAM212A	INKA1
FAM212B	INKA2
FAM212B-AS1	INKA2-AS1
FAM213A	PRXL2A
FAM213AP1	PRXL2AP1
FAM213AP2	PRXL2AP2
FAM213B	PRXL2B
FAM214A	ATOSA
FAM214B	ATOSB
FAM214BP1	ATOSBP1
FAM21A	WASHC2A
FAM21B	WASHC2A
FAM21C	WASHC2C
FAM21EP	WASHC2EP
FAM21FP	WASHC2FP
FAM22A	NUTM2A
FAM22A-AS1	NUTM2A-AS1
FAM22B	NUTM2B
FAM22D	NUTM2D
FAM22E	NUTM2E
FAM22F	NUTM2F
FAM22G	NUTM2G
FAM22HP	NUTM2HP
FAM239A	ZNF839P2
FAM239B	ZNF839P3
FAM23A	TMEM236
FAM23B	TMEM236
FAM243A	C21ORF140
FAM25B	FAM25BP
FAM25D	FAM25EP
FAM25E	FAM25EP
FAM26A	CALHM3
FAM26B	CALHM2
FAM26C	CALHM1
FAM26D	CALHM4
FAM26E	CALHM5
FAM26F	CALHM6
FAM27A	FAM27C
FAM27E1	FAM27E2
